Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
6027538,LAZIZ KERALA MIXTURE (180 TO 200 GM),639725828851,1.97,2.5001,21.25%,12,Indian Savories,LAZIZ ROASTERY LLC,LAZIZ
6027636,AL ARZ SAMOON HOT DOG,6291100800094,1.31,1.5,12.50%,6,Whole Meal Rolls,AL ARZ AUTOMATIC BAKERIE L.L.C,AL ARZ
6027639,"FOAM PLATE 10"" K PACK",8901444085115,4.2,5.25,19.98%,40,Plates,SHALIMAR PLASTIC TRADING LLC,NO BRAND
6027735,FRESH MAN AFTER SHAVE 100 ML(LOWER),8430868568169,4.18,5.5,24.02%,5,After Shave Fragrance,BEERAN KUTTY GENERAL TRADING LLC,FRESH MAN
6027737,OPI PLASTIC CUP 6OZ,9501100580009,1.05,1.25,16.00%,201,Other Disposables,SHALIMAR PLASTIC TRADING LLC,NO BRAND
6027743,GEOMETRY SET,6941271408581,3.32,10.5,68.35%,0,Geometry Instruments,FASHION WAY TRADING LLC,NO BRAND
6027816,FEM HAIR RMVNG CRM EXTRA DRY SKIN ALOE VERA 120GM,8901103033013,7.54,8.95,15.72%,1,Ladies Hair Removers,M.H. ENTERPRISES (L.L.C.),FEM
6027840,VICCO VAJRADANTI T-POWDER 50GM,8901288020501,3.99,4.75,16.00%,7,Toothpaste & Tooth powder,MUSCAT PHARMACEUTICAL TRADING LLC,VICCO
6027882,GEEPAS RECHABLE FLASH LIGHT GFL4650,6294010885410,66.15,79.0,16.27%,2,Torches,WESTERN INTERNATIONAL LLC,GEEPAS
6027920,OASIS PLUM CAKE,10602791820,0.75,1.5,49.95%,0,Whole Cakes,OASIS CUISINES L.L.C,NO BRAND
6028124,LAZIZ FRAYANS,639725828240,0.59,0.9996,40.91%,71,FRYMES,LAZIZ ROASTERY LLC,LAZIZ
6028133,CASIO WATCH  LTP-1094Q-9BRDF 4971850440758,4971850440758,55.65,99.0,43.79%,1,CASIO,JUBILEE STORE (L.L.C.),CASIO
6028389,USB DATA CABLE 885909219599,885909219599,3.15,10.0,68.50%,53,PC CABLES,MONDETECH ELECTRONICS TRADING LLC,NO BRAND
6029040,SADIA CHICKEN NUGGETS 270GM,7893000089570,5.17,6.95,25.59%,26,Nuggets,FEDERAL FOODS LLC,SADIA
6029103,LEVIDA CHICKEN DRUMSTICK 900GM,7899527410156,5.16,5.95,13.24%,0,Minced Chicken,BISMI INTERNATIONAL GEN. TR LLC (MARKET),NO BRAND
6029487,SALONPAS PAIN RELIEVING,4987188505069,8.19,10.5,25.71%,9,Other Health Care,JAN & BROS L.L.C (MKT),SALONPAS
6029583,PARACHUTE AYURVEDIC OIL 190 ML,8901088056595,8.75,10.95,20.09%,1,Hair Oils,ARABIAN OASIS FOOD CO. L.L.C.,PARACHUTE
6029657,BLUE FOR MEN EDT 100ML + DEO 200ML,614514023402,40.95,49.0,16.43%,1,Eau De Toilette – Men,AL TAMY GENERAL TRADING,RASASI
6029913,GBR LUCKY GOLD SONA MASOORI RICE 5KG,8906097370021,16.74,19.0,11.89%,103,SONA MASOORI,ARROZ LUCKY GENERAL TRADING L.L.C,GBR
6030089,FRESH N FRESH AIR FRESHENER-LEMON 300ML,8992222190039,4.2,6.95,39.57%,2,AIR FRESHNER- SPRAY&AEROSOLS,GEM PLAZA LLC,FRESH N FRESH
6030090,FRESH N FRESH AIR FRESHENER- JASMINE 300ML,4902806008821,5.5,8.45,34.91%,4,AIR FRESHNER- SPRAY&AEROSOLS,GEM PLAZA LLC,FRESH N FRESH
6030091,FRESH N FRESH AIR FRESHENER- LAVENDER 300ML,4902806008807,5.88,7.95,26.04%,7,AIR FRESHNER- SPRAY&AEROSOLS,GEM PLAZA LLC,FRESH N FRESH
6030092,FRESH N FRESH AIR FRESHENER- ROSE 300ML,4902806008746,6.3,8.45,25.48%,2,AIR FRESHNER- SPRAY&AEROSOLS,GEM PLAZA LLC,FRESH N FRESH
6030093,FRESH N FRESH AIR FRESHENER- BAKHOUR 300ML,4902806014693,5.88,7.95,26.03%,5,AIR FRESHNER- SPRAY&AEROSOLS,GEM PLAZA LLC,FRESH N FRESH
